"Título do vídeo;Editor;Dispositivo de impressão;Data de publicação;Alcance;Valor Gasto (BRL);Click-to-Play;Visualizações 10 segundos;Visualizações de 25% do vídeo;Visualizações de 50% do vídeo;Visualizações de 75% do vídeo;Visualizações de 95% do vídeo;Tempo médio assistido do vídeo;Ações;Compartilhamentos da publicação;Comentários na publicação;Envolvimento com a publicação;Reações à publicação"
"Vídeo 11;Luiz;Smartphone Android;42984;579119;657,442004515755;250124;157518;88152;71309;67654;60764;00:00:20;253409;358;270;252690;1938"
"Vídeo 11;Luiz;Outros;42984;297;0,0999060882770196;18;16;12;13;12;11;00:01:02;20;;;20;2"
"Vídeo 11;Luiz;Tablet Android;42984;2944;4,72555797550303;1631;974;488;397;381;340;00:00:20;1644;;1;1642;10"
"Vídeo 11;Luiz;iPad;42984;3711;10,1005055248067;2519;1444;726;582;531;480;00:00:20;2529;2;1;2527;5"
"Vídeo 53;Osvaldo;Desktop;43005;90615;346,556484773842;52406;18229;11264;6810;5325;4811;00:00:09;52774;112;12;52737;207"
"Vídeo 42;Marcos;iPad;42999;1677;7,08334165884069;1114;436;307;147;92;64;00:00:10;1118;;;1118;4"
"Vídeo 53;Osvaldo;iPhone;43005;43324;132,208339127153;21840;6172;3790;2315;1801;1671;00:00:07;21972;33;6;21962;83"
"Vídeo 53;Osvaldo;Tablet Android;43005;3264;13,7363183091317;2230;819;511;310;239;216;00:00:09;2254;6;1;2254;17"
"Vídeo 53;Osvaldo;iPad;43005;6486;28,6843725790111;3915;1265;845;508;379;350;00:00:10;3944;8;;3943;20"
"Vídeo 53;Osvaldo;Outros;43005;0;0,0893903577600763;5;2;2;2;1;2;00:00:20;5;;;5;"
"Vídeo 53;Osvaldo;Smartphone Android;43005;203821;478,675433543235;87749;29774;19174;11701;9071;8242;00:00:07;88820;317;39;88701;596"
"Vídeo 53;Osvaldo;iPod;43005;19;0,0496613098667091;6;1;1;;;;00:00:05;6;;;6;"
"Vídeo 42;Marcos;iPod;42999;30;0,129877914760125;15;9;9;6;5;4;00:00:17;16;;;15;"
"Vídeo 33;Osvaldo;Outros;42995;0;0,0399624353108078;2;1;1;1;1;1;00:00:29;2;;;2;"
"Vídeo 33;Osvaldo;iPad;42995;2272;13,1876036525666;1261;446;325;247;189;139;00:00:10;1267;1;;1267;5"
"Vídeo 20;Marcos;iPad;42988;1260;4,10614022818551;617;262;221;150;131;114;00:00:11;623;2;;623;4"
"Vídeo 20;Marcos;iPod;42988;0;0,0699342617939137;13;4;3;2;2;1;00:00:07;13;;;13;"
"Vídeo 20;Marcos;iPhone;42988;90736;241,642855715627;45746;21084;17899;13699;11423;10068;00:00:11;46112;36;28;46055;245"
"Vídeo 20;Marcos;Outros;42988;37;0,0399624353108078;1;1;1;1;1;1;00:00:29;1;;;1;"
"Vídeo 20;Marcos;Tablet Android;42988;1303;3,21697604252003;594;263;213;145;111;100;00:00:10;598;;;598;4"
"Vídeo 20;Marcos;Desktop;42988;29051;66,8971167102923;14115;5853;4579;3330;2874;2614;00:00:10;14190;8;5;14154;26"
"Vídeo 20;Marcos;Smartphone Android;42988;325832;684,02701460627;150996;71363;60813;46317;38003;34149;00:00:11;152423;166;73;152129;894"
"Vídeo 41;Osvaldo;iPod;42999;0;0,149859132415529;18;11;10;10;9;8;00:00:17;19;;;19;1"
"Vídeo 41;Osvaldo;Desktop;42999;74038;186,734469598577;23562;12105;10702;9080;7611;6831;00:00:11;23888;27;21;23809;198"
"Vídeo 41;Osvaldo;Tablet Android;42999;1408;5,24506963454353;614;297;256;208;181;163;00:00:11;632;;1;632;17"
"Vídeo 41;Osvaldo;iPhone;42999;51129;157,33210781865;18360;8922;7895;6660;5283;4663;00:00:10;18686;23;15;18641;243"
